,Descricao,Preco
181,Celular Multilaser G Pro Dual Sim 32 Gb Preto 2 Gb Ram Preto,"R$ 859,99"
182,Smartphone Multilaser G Pro Dual Sim 32Gb 2Gb Ram - Preto,"R$ 859,00"
183,Smartphone Moto G9 Plus - 128GB - Azul Indigo,"R$ 1.999,00"
184,"Smartphone Xiaomí Redimi Note 9 Branco 128GB, Tela de 6,53"", 4GB de RAM, Câmera Traseira Quádrupla +  Fone","R$ 1.699,00"
185,Smartphone Xíaamí Redimi Note 8 6.3 4gb/64gb Dual Sim – Moonlight White (Branco),"R$ 1.499,00"
186,"Smartphone LG K62 Android 10.0 Tela 6.6"" 4GB/64GB Câmera Quádrupla 48MP 5MP 2MP 2MP Selfie de 13MP - Vermelho","R$ 1.519,00"
187,"Smartphone Moto E7 XT2095-1 4G 64GB Cam Dupla de 48 MP + 2 MP Tela de 6,5"" Cobre","R$ 1.399,00"
188,Smartphone Motorola Moto E7 XT2095-1 64GB 4GB RAM Tela de 6.5” Cam Traseira Dupla Android 10 e Processador Octa-Core Cinza Metálico,"R$ 1.399,00"
189,"Smartphone LG QNote+ 64GB Dual Chip Android Tela 6.2"" Octa Core 1.5 Ghz 4G Câmera 16MP - Preto","R$ 5.999,00"
190,Smartphone Xiaomí Redmí Note 8 Pro 128Gb Azul,"R$ 1.920,00"
191,Smartphone Xiaomí Redmí Note 9 128Gb 4Gb Ram Dual Global,"R$ 1.553,94"
192,"Smartphone LG G7 Thinq Dual Chip Android 8.0 Tela 6.1"" 64GB 4G Câmera 16MP - Preto","R$ 3.389,00"
193,"Smartphone Samsung Galaxy S20 FE 128GB, 6GB RAM, Tela Infinita de 6.5”, Câmera Traseira Tripla - Cloud White","R$ 2.779,00"
194,Smartphone Moto E7 Plus Xt2081 Motorola 64Gb Azul,"R$ 1.059,99"
195,Smartphone Xiaomí Redmí Note 9 64Gb 3Gb Ram Global Note964gbblack,"R$ 1.280,88"
196,Smartphone Multilaser G Pro Dual Sim 32Gb 2Gb Ram  Preto,"R$ 860,99"
197,Smartphone SAMSUNG Galaxy A32  Câmera Quadrupla Traseira de 64MP+8MP+5MP+2MP 128GB de Memória Intern,"R$ 1.799,00"
198,Smartphone Xiaomí Redmí Note 9 128Gb 4Gb Ram Dual Global,"R$ 1.553,94"
199,Smartphone SAMSUNG Galaxy A32  Câmera Quádrupla Traseira de 64MP+8MP+5MP+2MP 128GB de Memória Intern,"R$ 1.799,00"
200,"Smartphone Nokia C2 NK011 16GB Dual Chip Tela 5.7"" 4G WiFi Câmera 5MP Verde","R$ 823,90"
201,Smartphone Xiaomí Redmí Note 8 Pro 128Gb 6Gb Ram Branco,"R$ 1.886,94"
202,Smartphone Xiaomí Redmí Note 9 64Gb 3Gb Ram Global,"R$ 1.343,04"
203,Smartphone Xiaomí Redmí Note 8 Pro 128Gb Verde,"R$ 1.920,00"
204,Smartphone Xiaomí Redmí Note 8 Pro 128Gb Cinza,"R$ 1.920,00"
205,Smartphone Xiaomí Redmí Note 9 128Gb 4Gb Ram Dual Global,"R$ 1.553,94"
206,Smartphone Xiaomí Redmí Note 9 128Gb 4Gb Ram Dual Global,"R$ 1.553,94"
207,"Smartphone Nokia 5.4 128gb 6,39"" 4 Câmeras Ia + UltraWide","R$ 1.798,90"
208,Smartphone Nokia Azul 5.4 128gb 4gb Ram,"R$ 1.798,90"
209,"Smartphone Samsung Galaxy Note20 Ultra Bronze 256GB, 12GB RAM, Tela Infinita de 6.9”, Câmera Tripla, Caneta S-Pen, Android 10 e Processador Octa-Core","R$ 5.849,00"
210,"Smartphone Motorola Moto E6s 32GB Dual Chip Android 9.0 Tela Max Vision 6.1"" 4G Câmera 13MP+2MP","R$ 899,00"
211,"Smartphone Xiaomi Redmi 9C Azul 32GB, Tela de 6.53"", 2GB de RAM, Câmera Traseira Tripla, Android 10 e Processador Octa-Core","R$ 979,00"
212,"Smartphone Motorola Moto E7 Power Azul Metálico 32GB, Bateria 5000 mAh, Tela de 6.5”, Câmera Traseira Dupla, Android 10 e Processador Octa-Core","R$ 999,00"
213,Smartphone Positivo S509C Twist 3 Fit 32Gb Tela 5 3G Grafite,"R$ 399,99"
214,"Smartphone Positivo Twist 3 Fit S509C 32GB Dual Chip Tela 5"" 3G WiFi Câmera 5MP Dourado","R$ 349,00"
215,"Smartphone Motorola Moto G8 Power Azul Atlântico 64GB, Tela de 6.4” FHD+, Câmera Traseira Quádrupla, Android 10 e Processador Qualcomm Octa-Core","R$ 1.299,00"
216,"Smartphone LG K61 Titânio 128GB, RAM de 4GB, Tela de 6,55"" HD+ 19.5:9, Inteligência Artificial, Câmera Quádrupla e Processador Octa-Core 2.3","R$ 1.299,00"
217,"Smartphone Motorola Moto G 5G Plus Azul 128GB, 8GB RAM, Tela de 6.7”, Câmera Traseira Quádrupla, Android 10 e Processador Octa-Core","R$ 2.299,00"
218,"Smartphone Motorola Moto G8 Power Lite Azul Navy 64GB, 4 GB RAM, Tela de 6.5” HD+, Câmera Traseira Tripla, Android 9 e Processador Octa-Core","R$ 1.299,00"
219,Celular Lg B220,"R$ 149,90"
220,"Smartphone Samsung Galaxy S20 FE Cloud White 128GB, 6GB RAM, Tela Infinita de 6.5”, Câmera Traseira Tripla, Android 10 e Processador Octa-Core","R$ 2.599,00"
221,"Smartphone Xiaomi Redmi Note 10 Pro Azul 128GB, 6GB RAM, Tela de 6.67”, Câmera Traseira Quádrupla, Android 11 e Processador Octa Core","R$ 3.399,00"
222,"Smartphone XiaomÍ RedmÍ 9 64GB, Tela de 6.53"", 4GB de RAM, Câmera Traseira Quádrupla, Android 10 e Processador Octa-Core - Lotus Root Powder","R$ 1.299,00"
223,"Smartphone Motorola Moto G9 Play 64GB 4GB RAM Câmera Tripla 48MP Tela 6.5"" - Rosa Quartzo","R$ 1.199,90"
224,Smartphone Samsung Galaxy A32 4GB 128GB Awesome Black,"R$ 2.699,90"
225,"Smartphone Samsung Galaxy A71 128 GB - Preto, 4G, Câmera Quadrupla 64MP + Selfie 32MP, RAM 6GB, Tela 6.7""","R$ 2.409,17"
226,"Smartphone Xiaomi Redmi Note 10 Pro Bronze 128GB, 8GB RAM, Tela de 6.67”, Câmera Traseira Quádrupla, Android 11 e Processador Octa Core","R$ 3.499,00"
227,Smartphone Redmí Note 9 Pro (48 Mpx) Dual Sim 64 Gb Interstellar Black 4 Gb Ram,"R$ 1.450,75"
228,Celular Positivo P70s 256mb 512mb Whatsapp Facebook Música,"R$ 284,90"
229,"Smartphone Samsung Galaxy A32 128GB 5G - Preto, Câmera Quadrupla 48MP + Selfie 13MP, RAM 4GB, Tela 6.5""","R$ 2.470,97"
230,"Smartphone Samsung Galaxy A72 128 GB - Branco, 4G, Câmera Quadrupla 64MP + Selfie 32MP, RAM 6GB, Tela 6.7""","R$ 3.088,97"
